,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,N/A,"Dingač, Croatia",750 ml,Red, Croatia,5/1/2023,"
                      Deep violet to the eye, this wine offers a bouquet of blackberry pie, black fig, vanilla and aniseed. It is full on the palate, with enduring tannins and flavors of dark fruits of the wood, milk chocolate, clove and lavender with a slight hint of dried tarragon. There is a beautiful soft floral note that appears at first sip and remains through the drawn out finish. Drink–2034.                      Mike DeSimone ",Ernest Tolj,Massanois Imports,"
Saints Hills 2019 Ernest Tolj Plavac Mali (Dingač)Cellar Selection ",$150,Dingač,99,null,Mike DeSimone,,null,Not rated yet [Add Your Review],"Plavac Mali, Other Red",2019,Saints Hills
1,14%,"Istria, Croatia",750 ml,Red, Croatia,5/1/2023,"
                      Inky garnet in the glass, this wine has aromas of black cherry, caramel and violet. It is bright at first sip, with flavors of blackberry, raspberry, chocolate covered caramel, dried thyme and violet talc. Silky tannins ply the palate and linger for a while.                      Mike DeSimone ",Il Primo,"Croatian Premium Wine Imports, Inc","
Fakin 2019 Il Primo Teran (Istria) ",$46,Istria,95,null,Mike DeSimone,,null,Not rated yet [Add Your Review],"Teran, Other Red",2019,Fakin
2,14%,"Dalmatian Coast, Croatia",750 ml,Red, Croatia,5/1/2023,"
                      This dark-ruby-colored wine has aromas of black cherry and milk chocolate with a touch of flint. There is a nice sense of spice on the palate, with velvety tannins and flavors of licorice, menthol, cassis, raspberry and a touch of dried thyme that wind down to a violet finish.                      Mike DeSimone ",St Roko Premium dry,Massanois Imports,"
Saints Hills 2019 St Roko Premium dry Plavac Mali (Dalmatian Coast) ",$38,Dalmatian Coast,94,null,Mike DeSimone,,null,Not rated yet [Add Your Review],"Plavac Mali, Other Red",2019,Saints Hills
3,13.5%,"Dalmatian Coast, Croatia",750 ml,Red, Croatia,5/1/2023,"
                      Inky garnet in the glass, this wine has a gorgeous nose of cassis, blackberry, thyme and lavender. A layer of sleek tannins is wrapped around flavors of purple fig, raspberry, milk chocolate, dried Mediterranean herbs and a hint of espresso. The smooth finish is marked with soft notes of butterscotch and orange zest.                      Mike DeSimone ",St Roko Premium Dry,Massanois Imports,"
Saints Hills 2018 St Roko Premium Dry Plavac Mali (Dalmatian Coast) ",$38,Dalmatian Coast,94,null,Mike DeSimone,,null,Not rated yet [Add Your Review],"Plavac Mali, Other Red",2018,Saints Hills
4,14%,"Komarna, Croatia",750 ml,Red, Croatia,5/1/2023,"
                      This deep-red-violet wine has a bouquet of red currant, purple fig and herbes de Provence. It is surprisingly soft on entry, offering flavors of pomegranate and black cherry set into a sheath of polished tannins. Notes of milk chocolate, dried thyme and sage, freshly ground coffee and lavender drift into the enduring finish.                      Mike DeSimone ",St Roko Premium Dry,Massanois Imports,"
Saints Hills 2017 St Roko Premium Dry Plavac Mali (Komarna) ",$38,Komarna,94,null,Mike DeSimone,,null,Not rated yet [Add Your Review],"Plavac Mali, Other Red",2017,Saints Hills
5,14%,"Dingač, Croatia",750 ml,Red, Croatia,5/1/2023,"
                      Deep garnet in the glass, this wine has a nose of cassis, dried thyme and smoke. It is pleasantly minty, with flavors of eucalyptus, clove, blackberry, cherry and sage. Silky tannins make way for a floral-scented finish.                      Mike DeSimone ",Dingac,Massanois Imports,"
Saints Hills 2018 Dingac Plavac Mali (Dingač) ",$55,Dingač,94,null,Mike DeSimone,,null,Not rated yet [Add Your Review],"Plavac Mali, Other Red",2018,Saints Hills
