,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14.5%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,5/1/2023,"
                      Luscious, deep black-fruit flavors light up this stunning, concentrated and delicious wine that conveys power with polish. Black cherries, black currants, spearmint and pine boughs are just a few of the flavor elements that flood the palate while being supported beautifully by moderate tannins and balancing acidity. Best from 2025–2032.                      Jim Gordon ",Rayhill Vineyard,null,"
Landmark 2019 Rayhill Vineyard Pinot Noir (Russian River Valley)Cellar Selection ",$70, California,96, Sonoma,Jim Gordon,,Russian River Valley,Not rated yet [Add Your Review],Pinot Noir,2019,Landmark
1,14.1%,"Sta. Rita Hills, Central Coast, California, US",750 ml,Red, US,5/1/2023,"
                      This is the first stab at the increasingly legendary vineyard for this iconic winery, and the results are fantastic. Deep, lavish aromas of black plum, violet and chai spice show on the nose. The bold, spicy and rich palate picks up chalky tannins and zesty acidity, proving intense but balanced.                      Matt Kettmann ",Radian Vineyard,null,"
Kosta Browne 2020 Radian Vineyard Pinot Noir (Sta. Rita Hills) ",$165, California,96, Central Coast,Matt Kettmann,,Sta. Rita Hills,Not rated yet [Add Your Review],Pinot Noir,2020,Kosta Browne
2,12.5%,"Baden, Germany",750 ml,Red, Germany,5/1/2023,"
                      A classic expression of Pinot Noir, with the juicy cherry flavor that is beautifully expressed against velvety texture, vibrant structure and dense harmony of tannins. Mineral and spice accents add depth and charm, before the acidity comes in a second wave and leaves a mouthwatering impression on the finish. Drink now through 2035.                      Aleks Zecevic ",Eichberg Oberrotwell,Delicato Family Wines,"
Franz Keller 2019 Eichberg Oberrotwell Pinot Noir (Baden) ",$99,Baden,95,null,Aleks Zecevic,,null,Not rated yet [Add Your Review],Pinot Noir,2019,Franz Keller
3,14.5%,"Petaluma Gap, Sonoma, California, US",750 ml,Red, US,5/1/2023,"
                      Lively, focused black fruit, bay and redwood aromas lead to just-ripe black cherries, blueberries and black tea in this well-concentrated, well-balanced and complex wine. Good acidity and moderate tannins complement the vivid flavors and bode well for further aging. Best from 2025-2032.                      Jim Gordon ",Sun Chase Vineyard Estate Grown,null,"
Guarachi Family 2021 Sun Chase Vineyard Estate Grown Pinot Noir (Petaluma Gap)Cellar Selection ",$75, California,95, Sonoma,Jim Gordon,,Petaluma Gap,Not rated yet [Add Your Review],Pinot Noir,2021,Guarachi Family
4,13.5%,"Santa Maria Valley, Central Coast, California, US",750 ml,Red, US,5/1/2023,"
                      Crisp and pure aromas of pomegranate extract, crushed stone and Red Hot candies show on the vivid nose of this block-designated bottling. The palate is generous in cherry but vibrant in sumac-laced acidity, as a zippy acidity flies into the finish. Drink now through 2038.                      Matt Kettmann ",Block 43 Bien Nacido Vineyard,null,"
Foxen 2020 Block 43 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley)Cellar Selection ",$68, California,95, Central Coast,Matt Kettmann,,Santa Maria Valley,Not rated yet [Add Your Review],Pinot Noir,2020,Foxen
5,13.5%,"Sta. Rita Hills, Central Coast, California, US",750 ml,Red, US,5/1/2023,"
                      The nose on this single-vineyard expression from a higher elevation vineyard in the middle of the appellation is dark, ripe, elegant and serious, showing strawberry, raspberry jam and violet aromas with a hint of cocoa. Powdery tannins frame the ripe flavors of black cherry, cola and freshly smashed currant on the palate.                      Matt Kettmann ",Rita's Crown Vineyard,null,"
Kosta Browne 2020 Rita's Crown Vineyard Pinot Noir (Sta. Rita Hills) ",$165, California,95, Central Coast,Matt Kettmann,,Sta. Rita Hills,Not rated yet [Add Your Review],Pinot Noir,2020,Kosta Browne
