,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13.8%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,5/1/2023,"
                      This is a light on its feet Cabernet Franc with elevated acidity, silky tannins and a pleasingly smooth texture. Its red raspberry, lily and fresh-cut grass aromas are fresh and inviting, joined by a bit of leather. Chelan cherry and white chocolate flavors complement notes of toasted filberts and tobacco.                      Michael Alberty ",Cougar Crest Vineyard,null,"
Wapato Point Cellars 2018 Cougar Crest Vineyard Cabernet Franc (Walla Walla Valley (WA))Editors' Choice ",$125, Washington,93, Columbia Valley,Michael Alberty,,Walla Walla Valley (WA),Not rated yet [Add Your Review],Cabernet Franc,2018,Wapato Point Cellars
1,14.8%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,5/1/2023,"
                      Glazed plum, lightly cracked pepper and bay leaf convey varietally familiar aromas on the nose of this bottling. It's medium to light bodied on the palate, where white pepper pops up the fresh raspberry and cranberry flavors.                      Matt Kettmann ",Reserve,null,"
Bianchi 2019 Reserve Cabernet Franc (Paso Robles) ",$83, California,91, Central Coast,Matt Kettmann,,Paso Robles,Not rated yet [Add Your Review],Cabernet Franc,2019,Bianchi
2,14%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,5/1/2023,"
                      Dark cherry and aged wood aromas invite the nose into this bottling. There is a tense texture to the palate right away, with waves of cigar box, dried berry and cracked pepper flavors. The leathery tannins pull into the finish, ensuring decent cellar potential.                      Matt Kettmann ",Estate Collection,null,"
Defiance 2019 Estate Collection Cabernet Franc (Paso Robles) ",$48, California,91, Central Coast,Matt Kettmann,,Paso Robles,Not rated yet [Add Your Review],Cabernet Franc,2019,Defiance
3,13.4%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,Red, US,5/1/2023,"
                      Light in the glass, this bottling leads with aromas of caramelized cranberry and blistered plum on the slightly tart nose. The palate is brisk and fresh, showing strawberry, sour cherry and white pepper flavors.                      Matt Kettmann ",Black Ridge Vineyard,null,"
Left Bend 2018 Black Ridge Vineyard Cabernet Franc (Santa Cruz Mountains) ",$40, California,90, Central Coast,Matt Kettmann,,Santa Cruz Mountains,Not rated yet [Add Your Review],Cabernet Franc,2018,Left Bend
4,14.5%,"Napa Valley, Napa, California, US",750 ml,Red, US,4/1/2023,"
                      Heady wood smoke and graphite aromas merge into concentrated, layered flavors of black currants, tobacco, dark chocolate and cloves that are gently carried by fine-grained tannins. This delicious, mouth-coating and spicy wine from a time-tested winery will drink best from 2027–2037.                      Jim Gordon ",null,null,"
Chappellet 2019 Cabernet Franc (Napa Valley)Cellar Selection ",$115, California,96, Napa,Jim Gordon,,Napa Valley,Not rated yet [Add Your Review],Cabernet Franc,2019,Chappellet
5,13%,"Atlantida, Uruguay",750 ml,Red, Uruguay,4/1/2023,"
                      A delicate nose offers licorice, cherry and hints of cocoa. This is a well-balanced and fresh red with intense red fruit and herbal flavors. It has firm tannins and enough acidity to freshen the pleasant, earthy finish.                      Jesica Vargas ",Gran Ombu,MYB Imports,"
Bracco Bosca 2020 Gran Ombu Cabernet Franc (Atlantida) ",$45,Atlantida,91,null,Jesica Vargas,,null,Not rated yet [Add Your Review],Cabernet Franc,2020,Bracco Bosca
