,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13.5%,"High Valley, Lake County, California, US",750 ml,White, US,5/1/2023,"
                      A beautiful mix of fruit and flowers waft out of the glass: cherry and apple blossom, lime leaf and pith, Meyer lemon juice and mandarin orange zest. On the palate, find a subtle of phenolic grip adds just a touch of texture and a bit of weight to this otherwise light-bodied white wine. The finish is clean, crisp and invites another sip (and then another).                      Jim Gordon ",null,null,"
Ovis 2021 Sauvignon Blanc (High Valley)Editors' Choice ",$45, California,92, Lake County,Jim Gordon,,High Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2021,Ovis
1,12.8%,"Santa Maria Valley, Central Coast, California, US",750 ml,White, US,5/1/2023,"
                      Subtle aromas of hay, yellow apple, tangerine peel and pineapple pull the nose into this bottling. The palate is very engaging with lots of acidity and a grippy texture, offering flavors of tropical fruit, sansho pepper and cut grass.                      Matt Kettmann ",Presqu'ile Vineyard,null,"
Outward 2021 Presqu'ile Vineyard Sauvignon Blanc (Santa Maria Valley) ",$32, California,92, Central Coast,Matt Kettmann,,Santa Maria Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2021,Outward
2,13.6%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,White, US,5/1/2023,"
                      A mouth-watering stainless steel gem of a wine with a crisp, clean texture, medium body and brilliant acidity. Pronounced cut grass and basil aromas mingle with peaches and a touch of yellow apple peel. Flavors like white grapefruit and pineapple-flavored Life Savers make this wine easy to sip.                      Michael Alberty ",Readers,null,"
J. Bookwalter 2021 Readers Sauvignon Blanc (Columbia Valley (WA))Editors' Choice ",$26, Washington,90, Columbia Valley,Michael Alberty,,Columbia Valley (WA),Not rated yet [Add Your Review],Sauvignon Blanc,2021,J. Bookwalter
3,14%,"Lake County, Lake County, California, US",750 ml,White, US,5/1/2023,"
                      This fresh and vibrant white wine with notes of white peach and nectarine, just-ripe pineapple, mint and a hint of salinity offers a medium body while consistently providing that crisp acidity so appreciated in Sauvignon Blanc.                      Stacy Briscoe ",Michael's Reserve,null,"
Six Sigma Ranch 2021 Michael's Reserve Sauvignon Blanc (Lake County) ",$36, California,90, Lake County,Stacy Briscoe,,Lake County,Not rated yet [Add Your Review],Sauvignon Blanc,2021,Six Sigma Ranch
4,12.8%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,White, US,5/1/2023,"
                      Nimble and light on its feet, this crisp, tart Sauvignon Blanc revs up the aromas and flavors of cantaloupe, lemon verbena and saline. Touches of nutmeg spice and white tea hover in the background, adding to the wine's refreshment value. Great value here.                      Michael Alberty ",null,null,"
Barnard Griffin 2021 Sauvignon Blanc (Columbia Valley (WA))Best Buy ",$12, Washington,88, Columbia Valley,Michael Alberty,,Columbia Valley (WA),Not rated yet [Add Your Review],Sauvignon Blanc,2021,Barnard Griffin
5,13.5%,"Lodi, Central Valley, California, US",750 ml,White, US,5/1/2023,"
                      A Sauvignon Blanc for fans of the classic New Zealand style. Find juicy-fruity notes of lemon, lime, just-cut grass, passionfruit and pineapple all backed up by a strong dose of racy acidity.                      Stacy Briscoe ",Estate Grown,null,"
Maggio 2021 Estate Grown Sauvignon Blanc (Lodi)Best Buy ",$12, California,87, Central Valley,Stacy Briscoe,,Lodi,Not rated yet [Add Your Review],Sauvignon Blanc,2021,Maggio
